,Date,USD,increase,perc_inc,increase_classes
6534,1999-01-04,1.1789,9.999999999998899e-05,0.008482483671217999,2.0
6533,1999-01-05,1.179,-0.0047000000000001485,-0.39864291772689975,0.0
6532,1999-01-06,1.1743,-0.011099999999999888,-0.945243975134113,0.0
6531,1999-01-07,1.1632,0.0026999999999999247,0.23211829436037867,2.0
6530,1999-01-08,1.1659,-0.008999999999999897,-0.7719358435543269,0.0
6529,1999-01-11,1.1569,-0.0049000000000001265,-0.423545682427187,0.0
6528,1999-01-12,1.152,0.022400000000000198,1.9444444444444617,2.0
6527,1999-01-13,1.1744,-0.009100000000000108,-0.7748637602179927,0.0
6526,1999-01-14,1.1653,-0.0026999999999999247,-0.23169999141851239,0.0
6525,1999-01-15,1.1626,-0.0014000000000000679,-0.1204197488388154,0.0
6524,1999-01-18,1.1612,0.00039999999999995595,0.034447123665170165,2.0
6523,1999-01-19,1.1616,-0.0040999999999999925,-0.35296143250688644,0.0
6522,1999-01-20,1.1575,-0.00029999999999996696,-0.025917926565871875,0.0
6521,1999-01-21,1.1572,-0.0004999999999999449,-0.04320774282750993,0.0
6520,1999-01-22,1.1567,0.0017000000000000348,0.14696982795885144,2.0
6519,1999-01-25,1.1584,-0.00020000000000020002,-0.01726519337018301,0.0
6518,1999-01-26,1.1582,-0.00529999999999986,-0.4576066309790935,0.0
6517,1999-01-27,1.1529,-0.011900000000000022,-1.0321797207043126,0.0
6516,1999-01-28,1.141,-0.0025999999999999357,-0.22787028921997685,0.0
6515,1999-01-29,1.1384,-0.0046000000000001595,-0.40407589599439203,0.0
6514,1999-02-01,1.1338,-9.999999999998899e-05,-0.008819897689185835,0.0
6513,1999-02-02,1.1337,0.0,0.0,1.0
6512,1999-02-03,1.1337,-0.007399999999999851,-0.6527299991179193,0.0
6511,1999-02-04,1.1263,0.0028999999999999027,0.2574802450501556,2.0
6510,1999-02-05,1.1292,-0.0045999999999999375,-0.40736804817569405,0.0
6509,1999-02-08,1.1246,0.00869999999999993,0.7736083940956722,2.0
6508,1999-02-09,1.1333,0.0009000000000001229,0.07941410041472893,2.0
6507,1999-02-10,1.1342,-0.0030000000000001137,-0.2645036148827467,0.0
6506,1999-02-11,1.1312,-0.006799999999999917,-0.6011315417255938,0.0
6505,1999-02-12,1.1244,-0.000600000000000156,-0.0533617929562572,0.0
6504,1999-02-15,1.1238,-0.006199999999999983,-0.5516995906744958,0.0
6503,1999-02-16,1.1176,0.00770000000000004,0.6889763779527596,2.0
6502,1999-02-17,1.1253,-0.0020999999999999908,-0.18661690215942334,0.0
6501,1999-02-18,1.1232,-0.006899999999999906,-0.614316239316231,0.0
6500,1999-02-19,1.1163,-0.017100000000000115,-1.5318462778822999,0.0
6499,1999-02-22,1.0992,-0.0022999999999999687,-0.20924308588063764,0.0
6498,1999-02-23,1.0969,0.006799999999999917,0.6199288905096105,2.0
6497,1999-02-24,1.1037,-0.0005999999999999339,-0.054362598532203855,0.0
6496,1999-02-25,1.1031,-0.0013000000000000789,-0.11784969631040512,0.0
6495,1999-02-26,1.1018,-0.0031999999999998696,-0.29043383554182883,0.0
6494,1999-03-01,1.0986,-0.00990000000000002,-0.9011469142545075,0.0
6493,1999-03-02,1.0887,0.0012000000000000899,0.1102232019840259,2.0
6492,1999-03-03,1.0899,-0.0033000000000000806,-0.3027800715662061,0.0
6491,1999-03-04,1.0866,-0.0032000000000000917,-0.29449659488313007,0.0
6490,1999-03-05,1.0834,0.007400000000000073,0.6830348901606124,2.0
