"Series Description","Nominal Emerging Market Economies Dollar Index","SPOT EXCHANGE RATE - EURO AREA "
"Unit:","Index:_1997_Jan_100","Currency:_Per_EUR"
"Multiplier:","1","1"
"Currency:","NA","USD"
"Unique Identifier: ","H10/H10/JRXWTFO_N.B","H10/H10/RXI$US_N.B.EU"
"Time Period","JRXWTFO_N.B","RXI$US_N.B.EU"
2000-01-03,,1.0155
2000-01-04,,1.0309
2000-01-05,,1.0335
2000-01-06,,1.0324
2000-01-07,,1.0294
2000-01-10,,1.0252
2000-01-11,,1.0322
2000-01-12,,1.0281
2000-01-13,,1.0270
2000-01-14,,1.0128
2000-01-17,,ND
2000-01-18,,1.0121
2000-01-19,,1.0115
2000-01-20,,1.0133
2000-01-21,,1.0100
2000-01-24,,1.0019
2000-01-25,,1.0041
2000-01-26,,1.0011
2000-01-27,,0.9890
2000-01-28,,0.9765
2000-01-31,,0.9757
2000-02-01,,0.9731
2000-02-02,,0.9768
2000-02-03,,0.9887
2000-02-04,,0.9760
2000-02-07,,0.9783
2000-02-08,,0.9862
2000-02-09,,0.9914
2000-02-10,,0.9865
2000-02-11,,0.9847
2000-02-14,,0.9783
2000-02-15,,0.9834
2000-02-16,,0.9842
2000-02-17,,0.9863
2000-02-18,,0.9850
2000-02-21,,ND
2000-02-22,,1.0060
2000-02-23,,1.0017
2000-02-24,,0.9931
2000-02-25,,0.9763
2000-02-28,,0.9669
2000-02-29,,0.9643
2000-03-01,,0.9700
2000-03-02,,0.9619
2000-03-03,,0.9618
2000-03-06,,0.9603
2000-03-07,,0.9560
2000-03-08,,0.9576
2000-03-09,,0.9684
2000-03-10,,0.9659
2000-03-13,,0.9648
2000-03-14,,0.9644
2000-03-15,,0.9696
2000-03-16,,0.9710
2000-03-17,,0.9694
2000-03-20,,0.9710
2000-03-21,,0.9703
2000-03-22,,0.9608
2000-03-23,,0.9691
2000-03-24,,0.9724
2000-03-27,,0.9645
2000-03-28,,0.9614
2000-03-29,,0.9524
2000-03-30,,0.9594
2000-03-31,,0.9574
2000-04-03,,0.9560
2000-04-04,,0.9588
2000-04-05,,0.9647
2000-04-06,,0.9580
2000-04-07,,0.9590
2000-04-10,,0.9588
2000-04-11,,0.9591
2000-04-12,,0.9551
2000-04-13,,0.9524
2000-04-14,,0.9564
2000-04-17,,0.9550
2000-04-18,,0.9477
2000-04-19,,0.9369
2000-04-20,,0.9376
2000-04-21,,0.9379
2000-04-24,,0.9396
2000-04-25,,0.9265
2000-04-26,,0.9217
2000-04-27,,0.9083
2000-04-28,,0.9089
2000-05-01,,0.9120
2000-05-02,,0.9068
2000-05-03,,0.8891
2000-05-04,,0.8907
2000-05-05,,0.8953
2000-05-08,,0.8950
2000-05-09,,0.9023
2000-05-10,,0.9097
2000-05-11,,0.9021
2000-05-12,,0.9080
2000-05-15,,0.9138
2000-05-16,,0.9053
2000-05-17,,0.8921
2000-05-18,,0.8952
2000-05-19,,0.8946
2000-05-22,,0.9036
2000-05-23,,0.9032
2000-05-24,,0.9096
2000-05-25,,0.9072
2000-05-26,,0.9310
2000-05-29,,ND
2000-05-30,,0.9314
2000-05-31,,0.9328
2000-06-01,,0.9307
2000-06-02,,0.9432
2000-06-05,,0.9471
2000-06-06,,0.9570
2000-06-07,,0.9600
2000-06-08,,0.9548
2000-06-09,,0.9526
2000-06-12,,0.9544
2000-06-13,,0.9619
2000-06-14,,0.9590
2000-06-15,,0.9530
2000-06-16,,0.9648
2000-06-19,,0.9622
2000-06-20,,0.9557
2000-06-21,,0.9455
2000-06-22,,0.9398
2000-06-23,,0.9358
2000-06-26,,0.9382
2000-06-27,,0.9444
2000-06-28,,0.9444
2000-06-29,,0.9515
2000-06-30,,0.9545
2000-07-03,,0.9526
2000-07-04,,ND
2000-07-05,,0.9548
2000-07-06,,0.9527
2000-07-07,,0.9484
2000-07-10,,0.9521
2000-07-11,,0.9497
2000-07-12,,0.9401
2000-07-13,,0.9339
2000-07-14,,0.9374
2000-07-17,,0.9351
2000-07-18,,0.9322
2000-07-19,,0.9237
2000-07-20,,0.9292
2000-07-21,,0.9343
2000-07-24,,0.9314
2000-07-25,,0.9391
2000-07-26,,0.9413
2000-07-27,,0.9331
2000-07-28,,0.9246
2000-07-31,,0.9266
2000-08-01,,0.9228
2000-08-02,,0.9137
2000-08-03,,0.9042
2000-08-04,,0.9075
2000-08-07,,0.9105
2000-08-08,,0.9019
2000-08-09,,0.8991
2000-08-10,,0.9077
2000-08-11,,0.9046
2000-08-14,,0.9037
2000-08-15,,0.9135
2000-08-16,,0.9143
2000-08-17,,0.9152
2000-08-18,,0.9068
2000-08-21,,0.9027
2000-08-22,,0.8965
2000-08-23,,0.8967
2000-08-24,,0.9028
2000-08-25,,0.9024
2000-08-28,,0.9002
2000-08-29,,0.8966
2000-08-30,,0.8924
2000-08-31,,0.8878
2000-09-01,,0.8993
2000-09-04,,ND
2000-09-05,,0.8876
2000-09-06,,0.8702
2000-09-07,,0.8740
2000-09-08,,0.8664
2000-09-11,,0.8624
2000-09-12,,0.8596
2000-09-13,,0.8640
2000-09-14,,0.8617
2000-09-15,,0.8572
2000-09-18,,0.8523
2000-09-19,,0.8514
2000-09-20,,0.8462
2000-09-21,,0.8558
2000-09-22,,0.8793
2000-09-25,,0.8738
2000-09-26,,0.8815
2000-09-27,,0.8805
2000-09-28,,0.8826
2000-09-29,,0.8837
2000-10-02,,0.8806
2000-10-03,,0.8741
2000-10-04,,0.8726
2000-10-05,,0.8685
2000-10-06,,0.8680
2000-10-09,,ND
2000-10-10,,0.8682
2000-10-11,,0.8715
2000-10-12,,0.8644
2000-10-13,,0.8568
2000-10-16,,0.8489
2000-10-17,,0.8507
2000-10-18,,0.8391
2000-10-19,,0.8406
2000-10-20,,0.8400
2000-10-23,,0.8364
2000-10-24,,0.8364
2000-10-25,,0.8270
2000-10-26,,0.8271
2000-10-27,,0.8406
2000-10-30,,0.8432
2000-10-31,,0.8486
2000-11-01,,0.8584
2000-11-02,,0.8594
2000-11-03,,0.8614
2000-11-06,,0.8584
2000-11-07,,0.8583
2000-11-08,,0.8559
2000-11-09,,0.8574
2000-11-10,,0.8625
2000-11-13,,0.8607
2000-11-14,,0.8573
2000-11-15,,0.8570
2000-11-16,,0.8532
2000-11-17,,0.8516
2000-11-20,,0.8486
2000-11-21,,0.8458
2000-11-22,,0.8423
2000-11-23,,ND
2000-11-24,,0.8382
2000-11-27,,0.8500
2000-11-28,,0.8547
2000-11-29,,0.8577
2000-11-30,,0.8694
2000-12-01,,0.8765
2000-12-04,,0.8875
2000-12-05,,0.8804
2000-12-06,,0.8877
2000-12-07,,0.8891
2000-12-08,,0.8838
2000-12-11,,0.8771
2000-12-12,,0.8775
2000-12-13,,0.8755
2000-12-14,,0.8858
2000-12-15,,0.8981
2000-12-18,,0.8929
2000-12-19,,0.8902
2000-12-20,,0.9058
2000-12-21,,0.9112
2000-12-22,,0.9230
2000-12-25,,ND
2000-12-26,,0.9292
2000-12-27,,0.9304
2000-12-28,,0.9257
2000-12-29,,0.9388
2001-01-01,,ND
2001-01-02,,0.9465
2001-01-03,,0.9473
2001-01-04,,0.9448
2001-01-05,,0.9535
2001-01-08,,0.9486
2001-01-09,,0.9397
2001-01-10,,0.9387
2001-01-11,,0.9520
2001-01-12,,0.9486
2001-01-15,,ND
2001-01-16,,0.9374
2001-01-17,,0.9306
2001-01-18,,0.9446
2001-01-19,,0.9363
2001-01-22,,0.9374
2001-01-23,,0.9389
2001-01-24,,0.9258
2001-01-25,,0.9219
2001-01-26,,0.9213
2001-01-29,,0.9181
2001-01-30,,0.9264
2001-01-31,,0.9308
2001-02-01,,0.9384
2001-02-02,,0.9357
2001-02-05,,0.9395
2001-02-06,,0.9304
2001-02-07,,0.9331
2001-02-08,,0.9184
2001-02-09,,0.9267
2001-02-12,,0.9287
2001-02-13,,0.9204
2001-02-14,,0.9197
2001-02-15,,0.9057
2001-02-16,,0.9162
2001-02-19,,ND
2001-02-20,,0.9096
2001-02-21,,0.9077
2001-02-22,,0.9069
2001-02-23,,0.9095
2001-02-26,,0.9093
2001-02-27,,0.9128
2001-02-28,,0.9212
2001-03-01,,0.9291
2001-03-02,,0.9340
2001-03-05,,0.9289
2001-03-06,,0.9313
2001-03-07,,0.9274
2001-03-08,,0.9281
2001-03-09,,0.9315
2001-03-12,,0.9300
2001-03-13,,0.9148
2001-03-14,,0.9133
2001-03-15,,0.9046
2001-03-16,,0.8929
2001-03-19,,0.8985
2001-03-20,,0.9054
2001-03-21,,0.8970
2001-03-22,,0.8881
2001-03-23,,0.8926
2001-03-26,,0.8955
2001-03-27,,0.8910
2001-03-28,,0.8882
2001-03-29,,0.8807
2001-03-30,,0.8794
2001-04-02,,0.8824
2001-04-03,,0.8930
2001-04-04,,0.9013
2001-04-05,,0.8976
2001-04-06,,0.9002
2001-04-09,,0.9014
2001-04-10,,0.8884
2001-04-11,,0.8856
2001-04-12,,0.8922
2001-04-13,,0.8888
2001-04-16,,0.8862
2001-04-17,,0.8814
2001-04-18,,0.8816
2001-04-19,,0.8909
2001-04-20,,0.9032
2001-04-23,,0.8960
2001-04-24,,0.8946
2001-04-25,,0.8972
2001-04-26,,0.9011
2001-04-27,,0.8924
2001-04-30,,0.8874
2001-05-01,,0.8937
2001-05-02,,0.8925
2001-05-03,,0.8891
2001-05-04,,0.8934
2001-05-07,,0.8916
2001-05-08,,0.8848
2001-05-09,,0.8845
2001-05-10,,0.8792
2001-05-11,,0.8759
2001-05-14,,0.8748
2001-05-15,,0.8788
2001-05-16,,0.8842
2001-05-17,,0.8828
2001-05-18,,0.8774
2001-05-21,,0.8762
2001-05-22,,0.8657
2001-05-23,,0.8598
2001-05-24,,0.8570
2001-05-25,,0.8577
2001-05-28,,ND
2001-05-29,,0.8547
2001-05-30,,0.8576
2001-05-31,,0.8455
2001-06-01,,0.8452
2001-06-04,,0.8449
2001-06-05,,0.8504
2001-06-06,,0.8452
2001-06-07,,0.8506
2001-06-08,,0.8505
2001-06-11,,0.8425
2001-06-12,,0.8479
2001-06-13,,0.8536
2001-06-14,,0.8598
2001-06-15,,0.8628
2001-06-18,,0.8610
2001-06-19,,0.8558
2001-06-20,,0.8506
2001-06-21,,0.8544
2001-06-22,,0.8570
2001-06-25,,0.8611
2001-06-26,,0.8623
2001-06-27,,0.8621
2001-06-28,,0.8470
2001-06-29,,0.8474
2001-07-02,,0.8455
2001-07-03,,0.8477
2001-07-04,,ND
2001-07-05,,0.8370
2001-07-06,,0.8465
2001-07-09,,0.8474
2001-07-10,,0.8557
2001-07-11,,0.8614
2001-07-12,,0.8530
2001-07-13,,0.8527
2001-07-16,,0.8549
2001-07-17,,0.8549
2001-07-18,,0.8701
2001-07-19,,0.8690
2001-07-20,,0.8713
2001-07-23,,0.8676
2001-07-24,,0.8752
2001-07-25,,0.8797
2001-07-26,,0.8765
2001-07-27,,0.8749
2001-07-30,,0.8750
2001-07-31,,0.8752
2001-08-01,,0.8793
2001-08-02,,0.8813
2001-08-03,,0.8843
2001-08-06,,0.8802
2001-08-07,,0.8775
2001-08-08,,0.8778
2001-08-09,,0.8886
2001-08-10,,0.8940
2001-08-13,,0.8983
2001-08-14,,0.9025
2001-08-15,,0.9114
2001-08-16,,0.9138
2001-08-17,,0.9165
2001-08-20,,0.9127
2001-08-21,,0.9115
2001-08-22,,0.9194
2001-08-23,,0.9166
2001-08-24,,0.9116
2001-08-27,,0.9098
2001-08-28,,0.9102
2001-08-29,,0.9097
2001-08-30,,0.9154
2001-08-31,,0.9090
2001-09-03,,ND
2001-09-04,,0.8868
2001-09-05,,0.8897
2001-09-06,,0.8943
2001-09-07,,0.9044
2001-09-10,,0.8988
2001-09-11,,ND
2001-09-12,,0.9069
2001-09-13,,0.9089
2001-09-14,,0.9199
2001-09-17,,0.9198
2001-09-18,,0.9233
2001-09-19,,0.9310
2001-09-20,,0.9255
2001-09-21,,0.9099
2001-09-24,,0.9135
2001-09-25,,0.9222
2001-09-26,,0.9231
2001-09-27,,0.9181
2001-09-28,,0.9099
2001-10-01,,0.9159
2001-10-02,,0.9149
2001-10-03,,0.9181
2001-10-04,,0.9141
2001-10-05,,0.9168
2001-10-08,,ND
2001-10-09,,0.9150
2001-10-10,,0.9118
2001-10-11,,0.9008
2001-10-12,,0.9078
2001-10-15,,0.9077
2001-10-16,,0.9094
2001-10-17,,0.9065
2001-10-18,,0.9025
2001-10-19,,0.8987
2001-10-22,,0.8906
2001-10-23,,0.8893
2001-10-24,,0.8925
2001-10-25,,0.8965
2001-10-26,,0.8921
2001-10-29,,0.9037
2001-10-30,,0.9060
2001-10-31,,0.8993
2001-11-01,,0.9044
2001-11-02,,0.9037
2001-11-05,,0.8963
2001-11-06,,0.8975
2001-11-07,,0.8999
2001-11-08,,0.8910
2001-11-09,,0.8935
2001-11-12,,ND
2001-11-13,,0.8811
2001-11-14,,0.8829
2001-11-15,,0.8813
2001-11-16,,0.8849
2001-11-19,,0.8781
2001-11-20,,0.8832
2001-11-21,,0.8781
2001-11-22,,ND
2001-11-23,,0.8770
2001-11-26,,0.8811
2001-11-27,,0.8812
2001-11-28,,0.8863
2001-11-29,,0.8879
2001-11-30,,0.8958
2001-12-03,,0.8897
2001-12-04,,0.8898
2001-12-05,,0.8856
2001-12-06,,0.8916
2001-12-07,,0.8905
2001-12-10,,0.8884
2001-12-11,,0.8904
2001-12-12,,0.8945
2001-12-13,,0.8976
2001-12-14,,0.9044
2001-12-17,,0.9040
2001-12-18,,0.9019
2001-12-19,,0.8997
2001-12-20,,0.8972
2001-12-21,,0.8864
2001-12-24,,0.8773
2001-12-25,,ND
2001-12-26,,0.8778
2001-12-27,,0.8843
2001-12-28,,0.8822
2001-12-31,,0.8901
2002-01-01,,ND
2002-01-02,,0.9031
2002-01-03,,0.8992
2002-01-04,,0.8946
2002-01-07,,0.8931
2002-01-08,,0.8925
2002-01-09,,0.8882
2002-01-10,,0.8925
2002-01-11,,0.8905
2002-01-14,,0.8935
2002-01-15,,0.8913
2002-01-16,,0.8834
2002-01-17,,0.8800
